Id	Name	Gender Designation	Race Designation	ELA Designation	Special Services	Homeroom
1099	"Aaron Foster"	MALE	BL	BELOW	YES	1
1050	"Anna Simmons"	FEMALE	HI	BELOW	NO	1
1046	"Bella Foster"	FEMALE	BL	BELOW	NO	1
1096	"Christian Bailey"	MALE	WH	BELOW	NO	1
1042	"Claire Murphy"	FEMALE	WH	AVERAGE	NO	1
1027	"Hazel Roberts"	FEMALE	WH	AVERAGE	NO	1
1044	"Isla Hughes"	FEMALE	WH	AVERAGE	NO	1
1082	"Jayden Rivera"	MALE	BL	AVERAGE	NO	1
1091	"Josiah Stewart"	MALE	BL	AVERAGE	NO	1
1025	"Layla Mitchell"	FEMALE	WH	AVERAGE	NO	1
1039	"Leah Cook"	FEMALE	BL	AVERAGE	NO	1
1087	"Lincoln Turner"	MALE	BL	AVERAGE	NO	1
1073	"Mateo Young"	MALE	BL	AVERAGE	NO	1
1070	"Matthew Lewis"	MALE	BL	AVERAGE	NO	1
1031	"Riley Parker"	FEMALE	BL	AVERAGE	NO	1
1040	"Savannah Morgan"	FEMALE	BL	AVERAGE	NO	1
1037	"Stella Rogers"	FEMALE	BL	AVERAGE	NO	1
1033	"Victoria Collins"	FEMALE	BL	AVERAGE	NO	1
1076	"Wyatt Scott"	MALE	BL	AVERAGE	NO	1
1034	"Addison Stewart"	FEMALE	BL	AVERAGE	NO	2
1068	"Aiden Thompson"	MALE	BL	AVERAGE	NO	2
1047	"Alice Bryant"	FEMALE	WH	BELOW	NO	2
1036	"Audrey Morris"	FEMALE	BL	AVERAGE	YES	2
1019	"Avery Moore"	FEMALE	WH	AVERAGE	NO	2
1041	"Brooklyn Bailey"	FEMALE	WH	AVERAGE	NO	2
1090	"Charles Collins"	MALE	BL	AVERAGE	NO	2
1003	"Charlotte Lee"	FEMALE	BL	ABOVE	NO	2
1061	"Daniel Anderson"	MALE	BL	ABOVE	NO	2
1084	"Gabriel Mitchell"	MALE	BL	AVERAGE	NO	2
1013	"Gianna Allen"	FEMALE	BL	ABOVE	NO	2
1058	"Henry Gonzalez"	MALE	WH	ABOVE	NO	2
1092	"Hudson Sanchez"	MALE	BL	AVERAGE	YES	2
1081	"Isaac Hill"	MALE	BL	AVERAGE	NO	2
1078	"Julian Adams"	MALE	BL	AVERAGE	NO	2
1062	"Logan Thomas"	MALE	BL	AVERAGE	NO	2
1028	"Madison Turner"	FEMALE	WH	AVERAGE	NO	2
1095	"Nathan Reed"	MALE	BL	AVERAGE	NO	2
1020	"Scarlett Clark"	FEMALE	WH	AVERAGE	NO	2
1005	"Sophia Davis"	FEMALE	AS	ABOVE	NO	2
1100	"Xavier Simmons"	OTHER	HI	BELOW	YES	2
1017	"Abigail Hernandez"	FEMALE	WH	AVERAGE	NO	3
1093	"Caleb Morris"	MALE	BL	AVERAGE	NO	3
1012	"Camila Lewis"	FEMALE	BL	ABOVE	NO	3
1022	"Chloe Rivera"	FEMALE	BL	AVERAGE	NO	3
1015	"Eleanor Scott"	FEMALE	BL	ABOVE	NO	3
1006	"Isabella Garcia"	FEMALE	HI	ABOVE	NO	3
1054	"James Garcia"	MALE	AS	ABOVE	NO	3
1075	"John Wright"	MALE	BL	AVERAGE	NO	3
1071	"Joseph Hall"	MALE	BL	AVERAGE	NO	3
1049	"Kinsley West"	FEMALE	AS	BELOW	NO	3
1079	"Luke Baker"	MALE	BL	AVERAGE	NO	3
1064	"Mason Moore"	MALE	BL	AVERAGE	NO	3
1098	"Miles Jenkins"	MALE	WH	BELOW	NO	3
1067	"Owen White"	MALE	BL	AVERAGE	NO	3
1030	"Penelope Campbell"	FEMALE	WH	AVERAGE	NO	3
1043	"Skylar Rivera"	FEMALE	WH	AVERAGE	NO	3
1083	"Theodore Campbell"	MALE	BL	AVERAGE	NO	3
1089	"Thomas Evans"	MALE	BL	AVERAGE	NO	3
1059	"Alexander Hernandez"	MALE	WH	ABOVE	NO	4
1024	"Aria Carter"	FEMALE	BL	AVERAGE	NO	4
1056	"Benjamin Davis"	MALE	HI	ABOVE	NO	4
1097	"Cameron Murphy"	MALE	HI	BELOW	NO	4
1053	"Elijah Brown"	MALE	AS	ABOVE	NO	4
1016	"Ella Hall"	FEMALE	WH	AVERAGE	NO	4
1002	"Emma Martinez"	FEMALE	WH	ABOVE	NO	4
1045	"Genesis Ross"	FEMALE	WH	BELOW	NO	4
1066	"Jack Martin"	MALE	BL	AVERAGE	NO	4
1063	"Jackson Taylor"	MALE	BL	AVERAGE	YES	4
1051	"Liam Smith"	MALE	BL	ABOVE	NO	4
